,,Stock Prices Before COVID-19,,,,,,,Stock Prices During COVID-19,,,
Date,Nigeria,South-Africa,Gabon,Egypt,Tanzania,,Date,Nigeria,South-Africa,Gabon,Egypt,Tanzania
10/1/2019,13.168342,42.114967,91.017776,30.472816,0.81,,3/2/2020,11.57,40.727951,82.682808,25.73,0.53
10/2/2019,12.621731,41.892044,90.017578,29.914312,0.81,,3/3/2020,11.82,40.354664,83.683006,25.549999,0.53
10/3/2019,12.601855,42.435978,90.017578,30.296446,0.78,,3/4/2020,12.13,41.23877,81.015816,26.02,0.52
10/4/2019,12.611793,43.202843,89.017387,30.198462,0.79,,3/5/2020,11.79,39.814369,82.349419,25.76,0.54
10/7/2019,12.442842,42.9175,88.350586,30.139673,0.8,,3/6/2020,11.8,39.254436,78.682037,25.549999,0.52
10/8/2019,12.542224,42.534065,87.350395,30.012293,0.82,,3/9/2020,10.45,35.354534,67.346489,23.67,0.48
10/9/2019,12.671423,42.739159,88.350586,30.276848,0.8,,3/10/2020,10.2,37.957745,69.013481,23.540001,0.49
10/10/2019,12.671423,43.604107,87.350395,30.521807,0.81,,3/11/2020,9.59,35.786766,69.680275,23.209999,0.47
10/11/2019,12.681362,44.923824,89.350784,30.629589,0.8,,3/12/2020,8.6,30.482111,65.346092,21.799999,0.43
10/14/2019,12.651546,44.629559,88.350586,30.090679,0.79,,3/13/2020,8.94,32.957615,66.679688,21.219999,0.41
10/15/2019,12.63167,44.66523,87.683792,29.992699,0.78,,3/16/2020,8.63,28.654953,58.811481,19.459999,0.45
10/16/2019,12.492533,44.897072,88.683983,30.198462,0.78,,3/17/2020,9.21,30.079351,65.346092,18.92,0.59
10/17/2019,12.502471,45.378586,88.017189,30.570801,0.78,,3/18/2020,8.54,25.933861,62.945625,17.17,0.5
10/18/2019,12.542224,45.432091,88.017189,30.39443,0.77,,3/19/2020,8.93,25.206928,63.479057,18.25,0.55
10/21/2019,12.641608,45.860107,86.683594,30.453218,0.76,,3/20/2020,9,25.177456,63.612427,17.42,0.56
10/22/2019,12.57204,46.332703,87.350395,30.39443,0.75,,3/23/2020,8.36,24.047762,63.345703,17.32,0.6
